id,name,location,available number of rooms,standard,price per night,amenities,type of meal plan,meal preference,required car parking space,good review count,bad review count,rating,hotel_description,distance_from_city_center,check_in_time,check_out_time
JPN0014,Ocean Pearl Inn,Sydney,131,Budget,9000,"Onsen, Wi-Fi, Free Breakfast, Fitness Center",All-Inclusive,Vegan,False,323,3,5,A comfortable and convenient hotel offering excellent services and amenities.,19 km,16:00,12:00
JPN0015,Mountain View Lodge,Marrakech,210,Standard,12000,"Restaurant, Pet-friendly, Onsen, Room Service, Spa, Parking",Room Only,,False,2665,19,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,15:00,11:00
JPN0016,The Heritage Palace,Berlin,37,Budget,12000,"Pet-friendly, Business Center, Wi-Fi, Parking, Free Breakfast",Full Board,Non veg without Beef,True,162,212,3,A comfortable and convenient hotel offering excellent services and amenities.,18 km,15:00,10:00
JPN0017,Mountain View Lodge,Barcelona,176,Standard,16000,"Wi-Fi, Spa, Free Breakfast, Bar, Fitness Center",Full Board,Veg,True,2513,105,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,16:00,12:00
JPN0018,Central Plaza Suites,Shanghai,201,Budget,12000,"Bar, Restaurant, Fitness Center, Pet-friendly, Free Breakfast, Onsen",Full Board,Both,False,428,248,4,A comfortable and convenient hotel offering excellent services and amenities.,18 km,14:00,11:00
JPN0019,Central Plaza Suites,Zurich,228,Budget,6000,"Business Center, Restaurant, Wi-Fi, Bar, Fitness Center, Pet-friendly",Bed & Breakfast,Both,True,4765,77,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,16:00,12:00
JPN0020,Skyline Towers,Moscow,294,Standard,16000,"Fitness Center, Free Breakfast, Restaurant, Bar, Room Service",Half Board,Non Veg,True,803,914,3,A comfortable and convenient hotel offering excellent services and amenities.,7 km,15:00,12:00
JPN0021,Urban Oasis Hotel,Dublin,257,Premium,23000,"Pet-friendly, Wi-Fi, Business Center",Room Only,,False,4214,98,5,A comfortable and convenient hotel offering excellent services and amenities.,8 km,14:00,12:00
JPN0022,Forest Glade Resort,Stockholm,286,Premium,22000,"Spa, Bar, Restaurant, Fitness Center",Half Board,Both,True,2464,175,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,12:00
JPN0023,The Grand Palace,Buenos Aires,5,Budget,10000,"Room Service, Spa, Pet-friendly",Bed & Breakfast,Veg,False,557,238,4,A comfortable and convenient hotel offering excellent services and amenities.,14 km,16:00,12:00
JPN0024,Golden Bay Resort,Warsaw,130,Standard,13000,"Fitness Center, Free Breakfast, Parking, Pet-friendly",Room Only,,True,2841,238,5,A comfortable and convenient hotel offering excellent services and amenities.,17 km,14:00,10:00
JPN0025,Mountain View Lodge,Amsterdam,97,Standard,20000,"Restaurant, Wi-Fi, Onsen, Pet-friendly",Bed & Breakfast,Non Veg,False,4312,698,5,A comfortable and convenient hotel offering excellent services and amenities.,16 km,14:00,11:00
JPN0026,Skyline Towers,London,137,Budget,9000,"Pet-friendly, Onsen, Bar, Spa, Fitness Center",Room Only,,True,3896,901,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,15:00,10:00
JPN0027,The Grand Palace,Sydney,82,Luxury,53000,"Business Center, Restaurant, Wi-Fi, Room Service",Full Board,Non Veg,True,2957,776,4,A comfortable and convenient hotel offering excellent services and amenities.,18 km,15:00,10:00
JPN0028,Metropolitan Grand,Paris,167,Budget,11000,"Wi-Fi, Bar, Parking, Business Center",All-Inclusive,Both,True,1521,551,4,A comfortable and convenient hotel offering excellent services and amenities.,15 km,16:00,12:00
JPN0029,Central Plaza Suites,Bangkok,243,Premium,28000,"Free Breakfast, Onsen, Fitness Center, Room Service, Parking, Bar",Room Only,,True,2797,284,5,A comfortable and convenient hotel offering excellent services and amenities.,13 km,16:00,10:00
JPN0030,The Grand Palace,Cape Town,11,Luxury,34000,"Spa, Wi-Fi, Parking, Onsen, Room Service",Bed & Breakfast,Veg,False,2598,521,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,14:00,10:00
JPN0031,City Lights Inn,Vienna,144,Budget,5000,"Onsen, Restaurant, Spa, Parking, Free Breakfast, Wi-Fi",Room Only,,False,2542,823,4,A comfortable and convenient hotel offering excellent services and amenities.,8 km,16:00,12:00
JPN0032,Central Plaza Suites,Marrakech,170,Budget,9000,"Parking, Business Center, Spa",Full Board,Both,True,393,572,3,A comfortable and convenient hotel offering excellent services and amenities.,1 km,14:00,11:00
JPN0033,The Grand Palace,Berlin,186,Budget,9000,"Pet-friendly, Bar, Fitness Center",Room Only,,True,4481,20,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,15:00,10:00
JPN0034,Mountain View Lodge,Zurich,117,Budget,5000,"Spa, Free Breakfast, Wi-Fi, Parking, Fitness Center, Onsen",Bed & Breakfast,Both,False,4732,530,5,A comfortable and convenient hotel offering excellent services and amenities.,19 km,14:00,11:00
JPN0035,The Heritage Palace,Stockholm,263,Budget,6000,"Bar, Onsen, Fitness Center, Free Breakfast, Business Center",All-Inclusive,Both,True,4240,982,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,16:00,10:00
JPN0036,Royal Garden Hotel,Toronto,51,Premium,26000,"Onsen, Fitness Center, Room Service, Bar, Business Center, Pet-friendly",Half Board,Non veg without Beef,True,1978,666,4,A comfortable and convenient hotel offering excellent services and amenities.,3 km,14:00,11:00
JPN0037,City Lights Inn,Stockholm,276,Premium,20000,"Room Service, Onsen, Fitness Center",Half Board,Vegan,False,1608,832,4,A comfortable and convenient hotel offering excellent services and amenities.,16 km,14:00,11:00
JPN0038,Ocean Pearl Inn,Sydney,32,Budget,9000,"Spa, Pet-friendly, Parking, Fitness Center, Wi-Fi",All-Inclusive,Both,True,327,278,3,A comfortable and convenient hotel offering excellent services and amenities.,14 km,16:00,10:00
JPN0039,Azure Coast Retreat,Amsterdam,189,Budget,5000,"Wi-Fi, Free Breakfast, Fitness Center, Parking, Business Center",Room Only,,True,2248,325,5,A comfortable and convenient hotel offering excellent services and amenities.,8 km,16:00,11:00
JPN0040,Metropolitan Grand,Zurich,300,Standard,13000,"Bar, Business Center, Room Service",Full Board,Non veg without Beef,False,4638,643,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,15:00,10:00
JPN0041,Skyline Towers,Prague,287,Standard,18000,"Free Breakfast, Business Center, Room Service, Parking, Wi-Fi",Room Only,,True,1702,557,4,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,12:00
JPN0042,Azure Coast Retreat,Istanbul,181,Premium,30000,"Free Breakfast, Wi-Fi, Restaurant, Bar, Business Center, Pet-friendly",Bed & Breakfast,Non Veg,False,3249,550,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,12:00
JPN0043,City Lights Inn,Rio de Janeiro,20,Budget,12000,"Pet-friendly, Onsen, Wi-Fi, Room Service, Free Breakfast",Bed & Breakfast,Jain,True,4873,617,5,A comfortable and convenient hotel offering excellent services and amenities.,2 km,15:00,10:00
JPN0044,Urban Oasis Hotel,Warsaw,220,Standard,18000,"Spa, Restaurant, Business Center",All-Inclusive,Jain,True,3409,751,5,A comfortable and convenient hotel offering excellent services and amenities.,13 km,16:00,10:00
JPN0045,The Grand Palace,Seoul,194,Luxury,41000,"Fitness Center, Parking, Pet-friendly, Restaurant",Full Board,Vegan,False,2184,931,4,A comfortable and convenient hotel offering excellent services and amenities.,17 km,14:00,12:00
JPN0046,Vista Veranda,Barcelona,291,Budget,9000,"Room Service, Wi-Fi, Spa",Room Only,,False,328,27,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,15:00,11:00
JPN0047,Urban Oasis Hotel,Amsterdam,71,Standard,16000,"Pet-friendly, Parking, Fitness Center, Bar",Bed & Breakfast,Non veg without Beef,True,3571,240,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,16:00,12:00
JPN0048,Sunset Boulevard Hotel,Dubai,72,Budget,6000,"Fitness Center, Bar, Wi-Fi",Full Board,Non Veg,False,3328,789,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,15:00,10:00
JPN0049,Lakeside Retreat,Beijing,295,Premium,30000,"Restaurant, Pet-friendly, Bar, Onsen, Business Center, Parking",Half Board,Non veg without Beef,True,3414,147,5,A comfortable and convenient hotel offering excellent services and amenities.,2 km,15:00,11:00
JPN0050,Forest Glade Resort,Edinburgh,166,Budget,11000,"Spa, Business Center, Wi-Fi, Room Service, Parking, Fitness Center",Full Board,Jain,False,940,237,4,A comfortable and convenient hotel offering excellent services and amenities.,4 km,15:00,10:00
JPN0051,Seaside Serenity Resort,Brussels,192,Budget,6000,"Bar, Business Center, Spa",Half Board,Veg,False,4523,467,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,14:00,11:00
JPN0052,Ocean Pearl Inn,Shanghai,190,Budget,12000,"Spa, Restaurant, Free Breakfast",Bed & Breakfast,Non Veg,True,1830,489,4,A comfortable and convenient hotel offering excellent services and amenities.,15 km,14:00,12:00
JPN0053,Lakeside Retreat,Istanbul,75,Standard,19000,"Parking, Free Breakfast, Restaurant, Fitness Center, Wi-Fi, Bar",All-Inclusive,Non Veg,True,1085,719,4,A comfortable and convenient hotel offering excellent services and amenities.,1 km,16:00,12:00
JPN0054,Pine Hill Haven,Dubai,228,Luxury,38000,"Spa, Restaurant, Fitness Center",All-Inclusive,Non Veg,False,4820,774,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,15:00,10:00
JPN0055,Seaside Serenity Resort,Dublin,33,Luxury,43000,"Pet-friendly, Business Center, Spa, Bar, Parking, Wi-Fi",Bed & Breakfast,Non veg without Beef,False,1119,278,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,15:00,11:00
JPN0056,Royal Garden Hotel,Cape Town,133,Budget,9000,"Fitness Center, Spa, Wi-Fi, Onsen, Parking, Pet-friendly",Half Board,Both,False,216,188,3,A comfortable and convenient hotel offering excellent services and amenities.,12 km,15:00,10:00
JPN0057,Ocean Pearl Inn,Berlin,22,Standard,15000,"Pet-friendly, Fitness Center, Restaurant, Parking, Wi-Fi",Bed & Breakfast,Non Veg,False,1395,510,4,A comfortable and convenient hotel offering excellent services and amenities.,17 km,16:00,10:00
JPN0058,Mountain View Lodge,Bangkok,73,Standard,13000,"Wi-Fi, Business Center, Onsen, Fitness Center, Restaurant, Free Breakfast",Full Board,Both,True,1683,895,4,A comfortable and convenient hotel offering excellent services and amenities.,8 km,15:00,12:00
JPN0059,Royal Garden Hotel,San Francisco,129,Budget,9000,"Fitness Center, Restaurant, Onsen",Bed & Breakfast,Non veg without Beef,False,3897,169,5,A comfortable and convenient hotel offering excellent services and amenities.,17 km,16:00,12:00
JPN0060,Seaside Serenity Resort,Madrid,54,Standard,20000,"Restaurant, Free Breakfast, Fitness Center, Spa",Bed & Breakfast,Vegan,True,2625,766,4,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,11:00
JPN0061,Central Plaza Suites,Dubai,75,Standard,12000,"Bar, Wi-Fi, Pet-friendly, Onsen, Parking",All-Inclusive,Jain,False,1754,671,4,A comfortable and convenient hotel offering excellent services and amenities.,3 km,15:00,11:00
JPN0062,Hilltop Luxury Inn,Marrakech,88,Budget,10000,"Onsen, Restaurant, Spa, Free Breakfast, Parking",Bed & Breakfast,Veg,False,1625,496,4,A comfortable and convenient hotel offering excellent services and amenities.,11 km,16:00,10:00
JPN0063,Vista Veranda,Barcelona,136,Budget,8000,"Wi-Fi, Room Service, Pet-friendly, Spa, Onsen",Bed & Breakfast,Jain,False,3844,439,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,14:00,12:00
JPN0064,Royal Garden Hotel,Cairo,165,Luxury,43000,"Onsen, Room Service, Business Center, Fitness Center, Spa",Full Board,Non Veg,False,3398,609,5,A comfortable and convenient hotel offering excellent services and amenities.,17 km,14:00,10:00
JPN0065,Pine Hill Haven,Tokyo,66,Standard,12000,"Spa, Fitness Center, Business Center, Parking, Bar",Half Board,Jain,False,497,853,2,A comfortable and convenient hotel offering excellent services and amenities.,17 km,16:00,10:00
JPN0066,Seaside Serenity Resort,Marrakech,142,Premium,27000,"Business Center, Wi-Fi, Room Service, Pet-friendly, Parking",Half Board,Non Veg,True,2268,55,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,14:00,11:00
JPN0067,Urban Oasis Hotel,Brussels,216,Budget,5000,"Wi-Fi, Onsen, Parking, Restaurant, Spa, Room Service",Bed & Breakfast,Non veg without Beef,True,2116,780,4,A comfortable and convenient hotel offering excellent services and amenities.,16 km,16:00,10:00
JPN0068,Palm Grove Resort,Singapore,247,Budget,10000,"Pet-friendly, Bar, Room Service, Onsen, Fitness Center",Half Board,Vegan,False,4070,370,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,10:00
JPN0069,Urban Oasis Hotel,Tokyo,210,Luxury,41000,"Pet-friendly, Parking, Room Service, Onsen, Business Center, Wi-Fi",All-Inclusive,Veg,False,2001,162,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,14:00,10:00
JPN0070,Skyline Towers,Dubai,20,Premium,26000,"Fitness Center, Room Service, Business Center, Free Breakfast",Full Board,Vegan,False,2577,10,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,16:00,10:00
JPN0071,Urban Oasis Hotel,San Francisco,36,Budget,6000,"Wi-Fi, Room Service, Spa, Pet-friendly, Business Center",Half Board,Vegan,False,4195,270,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,15:00,11:00
JPN0072,Azure Coast Retreat,Mexico City,46,Premium,29000,"Bar, Fitness Center, Free Breakfast",Bed & Breakfast,Non veg without Beef,False,3510,181,5,A comfortable and convenient hotel offering excellent services and amenities.,18 km,16:00,10:00
JPN0073,Golden Bay Resort,Seoul,31,Standard,16000,"Free Breakfast, Wi-Fi, Business Center, Pet-friendly, Parking",All-Inclusive,Vegan,False,2626,922,4,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,12:00
JPN0074,Lakeside Retreat,Beijing,193,Premium,27000,"Bar, Fitness Center, Wi-Fi, Pet-friendly, Business Center, Onsen",Room Only,,False,1770,64,5,A comfortable and convenient hotel offering excellent services and amenities.,16 km,15:00,10:00
JPN0075,Urban Oasis Hotel,Hong Kong,197,Budget,9000,"Parking, Wi-Fi, Business Center, Pet-friendly",All-Inclusive,Veg,True,1539,746,4,A comfortable and convenient hotel offering excellent services and amenities.,5 km,14:00,12:00
JPN0076,Lakeside Retreat,Shanghai,6,Budget,7000,"Spa, Business Center, Restaurant, Free Breakfast, Room Service, Wi-Fi",Half Board,Jain,False,4892,249,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,16:00,10:00
JPN0077,City Lights Inn,London,289,Luxury,50000,"Onsen, Bar, Free Breakfast, Room Service",Full Board,Non veg without Beef,False,2749,377,5,A comfortable and convenient hotel offering excellent services and amenities.,8 km,15:00,12:00
JPN0078,City Lights Inn,Paris,220,Budget,12000,"Fitness Center, Wi-Fi, Pet-friendly, Room Service, Spa",Bed & Breakfast,Both,False,936,764,3,A comfortable and convenient hotel offering excellent services and amenities.,8 km,14:00,11:00
JPN0079,Azure Coast Retreat,Warsaw,138,Premium,20000,"Business Center, Wi-Fi, Parking, Pet-friendly, Bar, Restaurant",Half Board,Vegan,False,649,418,4,A comfortable and convenient hotel offering excellent services and amenities.,15 km,14:00,10:00
JPN0080,Sunset Boulevard Hotel,Beijing,224,Budget,10000,"Wi-Fi, Free Breakfast, Spa, Restaurant, Room Service, Bar",Room Only,,False,2611,686,4,A comfortable and convenient hotel offering excellent services and amenities.,19 km,16:00,12:00
JPN0081,Palm Grove Resort,London,291,Premium,26000,"Fitness Center, Onsen, Parking, Room Service, Wi-Fi, Business Center",Half Board,Jain,True,3142,277,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,14:00,12:00
JPN0082,Sunset Boulevard Hotel,Istanbul,188,Premium,26000,"Pet-friendly, Wi-Fi, Business Center, Bar, Room Service",Half Board,Vegan,False,3710,434,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,16:00,10:00
JPN0083,Hilltop Luxury Inn,Mexico City,295,Luxury,58000,"Parking, Onsen, Fitness Center, Pet-friendly, Bar",Bed & Breakfast,Both,False,2941,383,5,A comfortable and convenient hotel offering excellent services and amenities.,16 km,15:00,12:00
JPN0084,Central Plaza Suites,Beijing,237,Budget,12000,"Bar, Wi-Fi, Free Breakfast, Business Center",Full Board,Non Veg,False,4920,995,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,14:00,10:00
JPN0085,Central Plaza Suites,New York,75,Budget,10000,"Free Breakfast, Parking, Bar, Wi-Fi",Room Only,,True,3270,597,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,15:00,12:00
JPN0086,Sunset Boulevard Hotel,Sydney,144,Budget,5000,"Bar, Free Breakfast, Parking, Spa",All-Inclusive,Both,True,3947,550,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,12:00
JPN0087,Pine Hill Haven,Lisbon,132,Premium,24000,"Pet-friendly, Onsen, Restaurant, Business Center, Free Breakfast, Fitness Center",Half Board,Non Veg,True,3213,612,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,11:00
JPN0088,Lakeside Retreat,Istanbul,179,Premium,28000,"Wi-Fi, Business Center, Restaurant",Room Only,,False,96,671,1,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,10:00
JPN0089,Golden Bay Resort,Sydney,185,Premium,30000,"Free Breakfast, Bar, Room Service, Pet-friendly, Spa",Half Board,Veg,False,3870,797,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,16:00,11:00
JPN0090,Mountain View Lodge,Lisbon,238,Budget,12000,"Fitness Center, Spa, Room Service, Pet-friendly, Free Breakfast",Room Only,,False,4934,337,5,A comfortable and convenient hotel offering excellent services and amenities.,6 km,16:00,10:00
JPN0091,Lakeside Retreat,Moscow,10,Luxury,60000,"Restaurant, Pet-friendly, Business Center, Parking, Bar, Spa",Room Only,,False,2198,264,5,A comfortable and convenient hotel offering excellent services and amenities.,8 km,16:00,12:00
JPN0092,Skyline Towers,Tokyo,153,Luxury,58000,"Parking, Business Center, Pet-friendly, Free Breakfast",Half Board,Non veg without Beef,True,1618,280,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,16:00,10:00
JPN0093,Skyline Towers,Dublin,280,Standard,14000,"Spa, Pet-friendly, Restaurant, Free Breakfast, Fitness Center",Room Only,,False,3348,267,5,A comfortable and convenient hotel offering excellent services and amenities.,18 km,15:00,11:00
JPN0094,City Lights Inn,Dubai,114,Premium,21000,"Wi-Fi, Business Center, Spa, Parking, Fitness Center, Onsen",Bed & Breakfast,Non veg without Beef,True,1558,824,4,A comfortable and convenient hotel offering excellent services and amenities.,11 km,14:00,11:00
JPN0095,Central Plaza Suites,Stockholm,212,Budget,8000,"Wi-Fi, Room Service, Bar, Fitness Center, Pet-friendly, Free Breakfast",All-Inclusive,Both,False,2100,22,5,A comfortable and convenient hotel offering excellent services and amenities.,16 km,16:00,12:00
JPN0096,Golden Bay Resort,Beijing,216,Standard,12000,"Restaurant, Wi-Fi, Onsen, Business Center, Free Breakfast",Room Only,,True,2735,336,5,A comfortable and convenient hotel offering excellent services and amenities.,19 km,14:00,10:00
JPN0097,Hilltop Luxury Inn,Dubai,70,Budget,10000,"Bar, Spa, Onsen, Parking",Room Only,,True,3514,776,5,A comfortable and convenient hotel offering excellent services and amenities.,2 km,16:00,10:00
JPN0098,Seaside Serenity Resort,Seoul,284,Standard,14000,"Business Center, Fitness Center, Spa",Bed & Breakfast,Non Veg,True,669,934,3,A comfortable and convenient hotel offering excellent services and amenities.,20 km,15:00,10:00
JPN0099,Seaside Serenity Resort,Warsaw,81,Budget,7000,"Onsen, Parking, Pet-friendly, Business Center, Restaurant",Room Only,,False,4697,205,5,A comfortable and convenient hotel offering excellent services and amenities.,18 km,14:00,12:00
JPN0100,City Lights Inn,Kuala Lumpur,233,Standard,20000,"Room Service, Onsen, Fitness Center, Bar, Spa, Restaurant",Room Only,,True,1999,611,4,A comfortable and convenient hotel offering excellent services and amenities.,19 km,14:00,10:00
JPN0101,Mountain View Lodge,Seoul,144,Standard,17000,"Business Center, Onsen, Free Breakfast",Half Board,Non Veg,True,519,219,4,A comfortable and convenient hotel offering excellent services and amenities.,7 km,15:00,12:00
JPN0102,Pine Hill Haven,Madrid,53,Standard,13000,"Bar, Restaurant, Pet-friendly",Half Board,Non Veg,True,1537,54,5,A comfortable and convenient hotel offering excellent services and amenities.,19 km,14:00,10:00
JPN0103,Mountain View Lodge,Cairo,66,Luxury,40000,"Spa, Wi-Fi, Restaurant, Free Breakfast",All-Inclusive,Veg,True,2249,488,5,A comfortable and convenient hotel offering excellent services and amenities.,13 km,16:00,11:00
JPN0104,City Lights Inn,Prague,247,Budget,6000,"Free Breakfast, Wi-Fi, Pet-friendly",All-Inclusive,Non Veg,False,929,202,5,A comfortable and convenient hotel offering excellent services and amenities.,2 km,14:00,12:00
JPN0105,The Heritage Palace,Rio de Janeiro,31,Premium,26000,"Business Center, Parking, Room Service, Fitness Center, Restaurant, Free Breakfast",Room Only,,True,4210,845,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,11:00
JPN0106,Seaside Serenity Resort,Bangkok,278,Standard,14000,"Pet-friendly, Parking, Fitness Center, Onsen",Half Board,Both,True,1756,887,4,A comfortable and convenient hotel offering excellent services and amenities.,2 km,15:00,12:00
JPN0107,Skyline Towers,Moscow,221,Premium,23000,"Room Service, Spa, Pet-friendly",All-Inclusive,Jain,True,2907,191,5,A comfortable and convenient hotel offering excellent services and amenities.,6 km,16:00,12:00
JPN0108,Skyline Towers,Toronto,150,Budget,10000,"Restaurant, Fitness Center, Spa, Pet-friendly, Bar",Full Board,Jain,True,4093,552,5,A comfortable and convenient hotel offering excellent services and amenities.,17 km,15:00,12:00
JPN0109,Vista Veranda,Vienna,86,Premium,25000,"Free Breakfast, Business Center, Spa, Wi-Fi, Fitness Center",All-Inclusive,Veg,False,859,777,3,A comfortable and convenient hotel offering excellent services and amenities.,5 km,14:00,10:00
JPN0110,Lakeside Retreat,Seoul,110,Premium,25000,"Pet-friendly, Restaurant, Business Center, Spa, Free Breakfast",Half Board,Non veg without Beef,False,409,184,4,A comfortable and convenient hotel offering excellent services and amenities.,1 km,14:00,11:00
JPN0111,Lakeside Retreat,Seoul,58,Budget,9000,"Free Breakfast, Pet-friendly, Onsen, Spa, Room Service, Restaurant",All-Inclusive,Vegan,False,2883,23,5,A comfortable and convenient hotel offering excellent services and amenities.,2 km,16:00,12:00
JPN0112,Golden Bay Resort,Prague,288,Budget,8000,"Wi-Fi, Bar, Spa, Room Service, Restaurant, Onsen",All-Inclusive,Veg,False,1133,300,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,15:00,12:00
JPN0113,Mountain View Lodge,London,120,Luxury,52000,"Wi-Fi, Room Service, Spa",Bed & Breakfast,Both,False,3823,473,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,14:00,12:00
JPN0114,Azure Coast Retreat,Buenos Aires,17,Budget,6000,"Parking, Onsen, Free Breakfast, Business Center, Room Service, Pet-friendly",Half Board,Veg,True,348,396,3,A comfortable and convenient hotel offering excellent services and amenities.,3 km,14:00,10:00
JPN0115,Metropolitan Grand,Dublin,189,Standard,12000,"Free Breakfast, Bar, Fitness Center",Half Board,Veg,False,3116,463,5,A comfortable and convenient hotel offering excellent services and amenities.,8 km,15:00,10:00
JPN0116,Metropolitan Grand,Amsterdam,201,Standard,12000,"Wi-Fi, Spa, Pet-friendly",Bed & Breakfast,Both,False,429,188,4,A comfortable and convenient hotel offering excellent services and amenities.,6 km,14:00,11:00
JPN0117,Metropolitan Grand,Cape Town,109,Premium,24000,"Room Service, Restaurant, Spa, Fitness Center, Free Breakfast",Room Only,,True,3184,380,5,A comfortable and convenient hotel offering excellent services and amenities.,19 km,16:00,12:00
JPN0118,Central Plaza Suites,Tokyo,112,Budget,6000,"Free Breakfast, Business Center, Pet-friendly, Onsen, Room Service, Restaurant",All-Inclusive,Jain,False,3077,215,5,A comfortable and convenient hotel offering excellent services and amenities.,16 km,16:00,11:00
JPN0119,Seaside Serenity Resort,Toronto,272,Budget,12000,"Fitness Center, Bar, Room Service, Wi-Fi, Free Breakfast, Spa",Half Board,Non veg without Beef,True,3292,681,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,16:00,10:00
